Region,Country,Group,Pb204/Pb206,Pb207/Pb206,Pb208/Pb206,Pb206/Pb204,Pb207/Pb204,Pb208/Pb204,Age,Mu,Kappa,Pb207,Pb206,Pb208,Reference
Northern Eifel,Germany,A,0.054441344,0.849836828,2.085178884,18.36839286,15.61013672,38.30138493,249.146906,9.658755917,3.867834402,21.59678359,25.41285914,52.99035727,Bode 2008
Northern Eifel,Germany,A,0.054406964,0.849401523,2.083242655,18.38,15.612,38.29,244.0460127,9.663551964,3.854790894,21.59873828,25.42818406,52.97307767,Durali-Müller (2005)
Northern Eifel,Germany,A,0.054468289,0.849855974,2.084903621,18.35930611,15.60276597,38.27738378,241.5977387,9.631513269,3.858456078,21.59867594,25.41451329,52.98681077,Bode 2008
Northern Eifel,Germany,A,0.054407299,0.850043601,2.085925155,18.37988689,15.62370524,38.33906841,266.8462074,9.710145425,3.885045452,21.59680765,25.40670574,52.99648661,Bode 2008
Northern Eifel,Germany,A,0.054455132,0.849949185,2.084383508,18.36374195,15.6082475,38.27708086,248.9646836,9.652294068,3.857292692,21.60338872,25.41727093,52.97934035,Bode 2008
Northern Eifel,Germany,A,0.054416982,0.850290094,2.086224513,18.37661641,15.6254549,38.33774762,272.6662786,9.717871884,3.887114967,21.60007466,25.40318276,52.99674258,Bode 2008
Northern Eifel,Germany,A,0.054294712,0.84927788,2.081604952,18.418,15.642,38.339,273.6206947,9.774322616,3.866285798,21.60527079,25.43957789,52.95515131,"Höhndorf (1982), zit. in Krahn (1988)"
Northern Eifel,Germany,A,0.054424731,0.849678894,2.083596386,18.374,15.612,38.284,,,,21.60232462,25.42410405,52.97357133,Schneider (1994)
Northern Eifel,Germany,A,0.054433618,0.849599913,2.083229002,18.371,15.608,38.271,243.0144585,9.649681238,3.849197348,21.60276817,25.42698962,52.97024221,Schneider (1994)
Northern Eifel,Germany,A,0.054353734,0.849820633,2.084628764,18.398,15.635,38.353,275.0732784,9.751013856,3.88442336,21.59948056,25.41651701,52.98400243,Schneider (1994)
Northern Eifel,Germany,A,0.054377379,0.849048396,2.083306145,18.39,15.614,38.312,240.4252779,9.669256846,3.860608004,21.59134908,25.43005697,52.97859395,Schneider (1994)
Northern Eifel,Germany,A,0.054487005,0.852340217,2.090557402,18.353,15.643,38.368,323.7130935,9.793688229,3.925063114,21.61710243,25.36205848,53.02083909,Krahn & Baumann (1996)
Northern Eifel,Germany,A,0.054421769,0.849142857,2.086857143,18.375,15.603,38.346,230.2043981,9.628952587,3.884688591,21.57375145,25.40650407,53.01974448,Krahn & Baumann (1996)
Northern Eifel,Germany,A,0.054408286,0.849699828,2.08611007,18.37955336,15.61710333,38.34177135,254.3125184,9.683937289,3.884395341,21.58894484,25.40773121,53.00332395,Bode 2008
Northern Eifel,Germany,A,0.054466274,0.850281772,2.08625958,18.3599856,15.61116109,38.30369585,257.4646113,9.664730955,3.874977619,21.5997165,25.40301017,52.99727333,Bode 2008
Northern Eifel,Germany,A,0.054430655,0.849608099,2.082516874,18.372,15.609,38.26,244.2140541,9.653428915,3.843037174,21.60684376,25.43154165,52.9616146,Durali-Müller (2005)
Northern Eifel,Germany,A,0.054428565,0.849700842,2.084989302,18.37270552,15.61130335,38.30689446,248.1756052,9.66242199,3.868331578,21.59511451,25.41496188,52.98992362,Bode 2008
Northern Eifel,Germany,A,0.054215234,0.851016536,2.087503388,18.445,15.697,38.504,357.0602147,9.988583673,3.954673629,21.60752141,25.3902486,53.00222999,Large et al. (1983)
Northern Eifel,Germany,A,0.054030689,0.852820402,2.098011671,18.508,15.784,38.83,467.7710628,10.32643221,4.11398275,21.58584284,25.31112388,53.10303329,Large et al. (1983)
Northern Eifel,Germany,A,0.054534548,0.851120685,2.085237498,18.337,15.607,38.237,266.6656778,9.653402684,3.853073232,21.6220335,25.40419224,52.97377426,"Höhndorf (1982), zit. in Krahn (1988)"
Northern Eifel,Germany,A,0.054406964,0.851033732,2.084167573,18.38,15.642,38.307,301.8201865,9.783207276,3.874222155,21.62618037,25.41166061,52.96215902,"Höhndorf (1982), zit. in Krahn (1988)"
Northern Eifel,Germany,A,0.05413599,0.8525877,2.094304894,18.472,15.749,38.686,431.6558413,10.19283423,4.050539697,21.60149231,25.33638745,53.06212024,Large et al. (1983)
Northern Eifel,Germany,A,0.054294712,0.851938321,2.088826148,18.418,15.691,38.472,365.599365,9.971118718,3.953617904,21.61860542,25.37578705,53.00560753,Large et al. (1983)
Northern Eifel,Germany,A,0.054389209,0.849777004,2.084792777,18.386,15.624,38.331,262.8427011,9.70992186,3.87682196,21.59771084,25.41573935,52.98654981,Bielicki & Tischendorf (1999)
Northern Eifel,Germany,A,0.054362599,0.850067953,2.08534928,18.395,15.637,38.36,281.1402442,9.759691419,3.890813899,21.60045309,25.41026633,52.98928058,Bielicki & Tischendorf (1999)
Northern Eifel,Germany,A,0.054492943,0.850362378,2.084028118,18.351,15.605,38.244,252.2294207,9.642256779,3.846899338,21.61357341,25.41689751,52.96952909,Schneider (1994)
Northern Eifel,Germany,A,0.054365554,0.850114168,2.086115038,18.394,15.637,38.372,281.8839638,9.759923808,3.897851536,21.59717139,25.40502465,52.99780396,Krahn & Baumann (1996)
Northern Eifel,Germany,A,0.054487005,0.850869068,2.085653572,18.353,15.616,38.278,272.0913068,9.685604993,3.86756807,21.61473833,25.40313093,52.98213075,Schneider (1994)
Northern Eifel,Germany,A,0.054546446,0.850870016,2.084983363,18.333,15.599,38.224,254.0943265,9.622463807,3.845963542,21.61843783,25.40745052,52.97411165,Schneider (1994)
Northern Eifel,Germany,A,0.054507795,0.850703151,2.084814128,18.346,15.607,38.248,259.8924643,9.651347828,3.853023783,21.6160441,25.40962037,52.97433554,Schneider (1994)
Northern Eifel,Germany,A,0.054451402,0.849877484,2.083419548,18.365,15.608,38.262,247.5343833,9.651027359,3.848344885,21.6072541,25.42396345,52.96878245,Schneider (1994)
Northern Eifel,Germany,A,0.054552398,0.850908297,2.084828978,18.331,15.598,38.217,253.6503991,9.618938802,3.843185242,21.62004824,25.40820004,52.97175173,Schneider (1994)
Northern Eifel,Germany,A,0.054368511,0.849315676,2.086212357,18.39299947,15.62146277,38.37170277,252.6894438,9.698235039,3.892932548,21.58072992,25.40955094,53.00971914,Bode 2008
