Type,A,B,C
NorthernEifel,18.36839286,15.61013672,38.30138493
NorthernEifel,18.38,15.612,38.29
NorthernEifel,18.35930611,15.60276597,38.27738378
NorthernEifel,18.37988689,15.62370524,38.33906841
NorthernEifel,18.36374195,15.6082475,38.27708086
NorthernEifel,18.37661641,15.6254549,38.33774762
NorthernEifel,18.418,15.642,38.339
NorthernEifel,18.374,15.612,38.284
NorthernEifel,18.371,15.608,38.271
NorthernEifel,18.398,15.635,38.353
NorthernEifel,18.39,15.614,38.312
NorthernEifel,18.353,15.643,38.368
NorthernEifel,18.375,15.603,38.346
NorthernEifel,18.37955336,15.61710333,38.34177135
NorthernEifel,18.3599856,15.61116109,38.30369585
NorthernEifel,18.372,15.609,38.26
NorthernEifel,18.37270552,15.61130335,38.30689446
NorthernEifel,18.445,15.697,38.504
NorthernEifel,18.508,15.784,38.83
NorthernEifel,18.337,15.607,38.237
NorthernEifel,18.38,15.642,38.307
NorthernEifel,18.472,15.749,38.686
NorthernEifel,18.418,15.691,38.472
NorthernEifel,18.386,15.624,38.331
NorthernEifel,18.395,15.637,38.36
NorthernEifel,18.351,15.605,38.244
NorthernEifel,18.394,15.637,38.372
NorthernEifel,18.353,15.616,38.278
NorthernEifel,18.333,15.599,38.224
NorthernEifel,18.346,15.607,38.248
NorthernEifel,18.365,15.608,38.262
NorthernEifel,18.331,15.598,38.217
NorthernEifel,18.39299947,15.62146277,38.37170277
NorthernEifel,18.35537829,15.60573263,38.27919964
NorthernEifel,18.37148975,15.62224544,38.32150878
NorthernEifel,18.37050449,15.61447127,38.32075398
NorthernEifel,18.33626533,15.61115888,38.28956173
NorthernEifel,18.345,15.636,38.344
NorthernEifel,18.3722404,15.6283423,38.37635977
NorthernEifel,18.31132759,15.61206947,38.29701508
NorthernEifel,18.30324003,15.59916533,38.24563822
NorthernEifel,18.31595434,15.61710744,38.3024506
NorthernEifel,18.34560203,15.60258979,38.27713741
NorthernEifel,18.447,15.705,38.556
NorthernEifel,18.421,15.718,38.486
NorthernEifel,18.378,15.652,38.38
NorthernEifel,18.36,15.622,38.322
NorthernEifel,18.344,15.627,38.318
NorthernEifel,18.328,15.615,38.285
