Datasets,A_Bergisches_Land,B_Cartagena,C_Cevennes,D_Laurion,E_Montagne_Noire,F_Northern_Eifel,G_Roman,H_SM-Linares,I_SM-Los,J_Sardinia,K_Sauerland,L_Tuscany
A_Bergisches_Land,1,0,0.02259,0,0.24906,0.00694,0.22809,0,0.00071,0.12679,0.16815,0.00032
B_Cartagena,0,1,0.04334,0,0.06335,0,0.02837,0,0.00059,0.00557,0.00059,0.54542
C_Cevennes,0.00455,0,1,0,0.6169,0.0749,0.05343,0.01147,0.03008,0.23878,0.13838,0.01744
D_Laurion,0,0,0.00202,1,0.02807,0,0,0,0,0.00003,0.00004,0
E_Montagne_Noire,0,0,0.19732,0,1,0.01689,0.00405,0,0.00177,0.16341,0.04506,0.00969
F_Northern_Eifel,0.0707,0,0.10496,0,0.20994,1,0.5994,0.00003,0,0.04589,1.10228,0.00228
G_Roman,0.38218,0.02881,0.10264,0,0.27269,0.58126,1,0.00025,0.00285,0.14153,1.04735,0.03256
H_SM-Linares,0.17302,0,0.13649,0,0.07985,0,0.00869,1,0.20666,0.04891,0.00266,0
I_SM-Los,0.06479,0,0.16238,0,0.16161,0.00203,0.07331,0.39148,1,0.13375,0.01203,0.00042
J_Sardinia,0.36541,0.00064,0.19827,0,0.71216,0.01043,0.05211,0.0042,0.00517,1,0.0487,0.00009
K_Sauerland,0.13856,0,0.16398,0,0.31656,0.44695,0.65304,0.00011,0.00005,0.08587,1,0.00388
L_Tuscany,0.00015,0.9264,0.02818,0,0.02612,0,0.03432,0,0.00042,0.00631,0.00002,1
